,name,ror_id
0,Royal Academy of Art,00490vc18
1,European Association of Urology,00m9mc973
2,Chemtrix (Netherlands),00ycyk215
3,Low & Bonar (Netherlands),04hr2ce79
4,Pantarhei Bioscience (Netherlands),03hagz796
5,Organisation for the Prohibition of Chemical Weapons,02rqftv84
6,Maastricht School of Management,04zb8fk81
7,Waddenfonds,02h1t6f69
8,Eijkelkamp SonicSampDrill (Netherlands),023q39239
9,Royal Dutch Football Association,02ke6ab14
10,Western Digital (Netherlands),05f4fbs05
11,Tagworks Pharmaceuticals (Netherlands),0364yac91
12,International Confederation of Midwives,039c24767
13,International Pharmaceutical Federation,0282kvf82
14,International Research Universities Network,04484bb06
15,Protestant Theological University,016w23120
16,Tio University,00560h931
17,University of Humanistic Studies,04w5ec154
18,Centre for Medical Systems Biology,00e7dfm13
19,Christelijk Gymnasium Utrecht,02gd5t807
20,Hogeschool de Kempel,056k6yz11
21,Hogeschool iPabo,0230zs006
22,AMN (Netherlands),00gnbgz55
23,Credit Comfort,02rpygq27
24,Amsterdam Museum,05cj5gd51
25,Openbare Scholengemeenschap De Hogeberg,008za0b72
26,Mulier Institute,0325s8d52
27,Ingenieursburo Balvers (Netherlands),02esv1036
28,Museum Catharijneconvent,01xjjmp17
29,Alfa College,030ms0k96
30,Dutch Network of Systems and Control,04jrdcy74
31,Institute for the Study of Education and Human Development,03hxrmn64
32,Netherlands Interdisciplinary Demographic Institute,04kf5kc54
33,Netherlands Bioinformatics Centre,01r0k6965
34,Netherlands Metabolomics Centre,00zh5wn98
35,NatriSoft (Netherlands),02dv36z82
36,SNS Reaal,04tf4mr55
37,Social Historic Centre for Limburg,00ypx8t52
38,Ons Middelbaar Onderwijs,040657n65
39,European Association of Distance Teaching Universities,053qcv951
40,International Bureau of Fiscal Documentation,00bscyw28
41,Intravacc (Netherlands),01mmx3p40
42,Center for Translational Molecular Medicine,047wvvg23
43,Instituut Gak,02tx5t327
44,Radboud Institute for Molecular Life Sciences,01yb10j39
45,Swets (Netherlands),02rpz4k59
46,Encapson (Netherlands),02yd5qy74
47,Driestar Christian University,05jext738
48,Hotelschool The Hague,018t8yw14
49,Rups Consultancy and Project Management,037p78440
50,Siemens (Netherlands),02mt4w922
51,Schoenfabriek Wed. J.P. van Bommel (Netherlands),055a3gx21
52,Stichting Accessibility,01qbtys04
53,Digital Heritage Netherlands,055622428
54,Dutch Polymer Institute,01m71fs94
55,Stichting Ecobaby,0334n7472
56,Knowledge Centre Wind turbine Materials and Constructions,050qdy167
57,Nationaal ICT Instituut in de Zorg,03kvq4w45
58,DNV GL (Netherlands),004r4ve77
59,TenCate (Netherlands),03v96p621
60,Tinbergen Institute,054xxtt73
61,Schlumberger (Netherlands),03daw3m97
62,Flevoziekenhuis,02tqqrq23
63,Onze Lieve Vrouwe Gasthuis,01d02sf11
64,Svar Life Science (Netherlands),01jqhew41
65,Borstkankervereniging Nederland,01fmdar07
66,ISA Pharmaceuticals (Netherlands),00cswhr36
67,VitaValley Foundation,00m3dfd98
68,Evidentia Publishing (Netherlands),034jtsg79
69,Wolters Kluwer (Netherlands),03qemwx69
70,AT&T (Netherlands),02efxmp95
71,Avantium (Netherlands),052kwn289
72,Moog (Netherlands),01rtxd659
73,AnyWi Technologies (Netherlands),03d2qa639
74,BioActor (Netherlands),052z4yp15
75,Dutch Institute for Healthcare Improvement,05se6w266
76,Colorex Master Batch (Netherlands),01tjxaw07
77,Dsan Research Solutions,046nv5659
78,Dow Chemical (Netherlands),049px0x49
79,BASF (Netherlands),00sgajx84
80,Solvay (Netherlands),05hxvc906
81,Airbus (Netherlands),02z4rsp10
82,Esaote (Netherlands),02fwpc710
83,Foreco (Netherlands),04vfnb935
84,Future Diagnostics (Netherlands),001gdnj66
85,European Institute of Printed Circuits,043m8qc33
86,Goudappel Coffeng,00ag93x16
87,European Organisation for Research and Treatment of Cancer,04g9wby70
88,Tronox (Netherlands),00td9nh08
89,KIC InnoEnergy (Netherlands),031362551
90,Royal BAM Group (Netherlands),0060zp422
91,Logisticon (Netherlands),00c0vk765
92,Vestas (Netherlands),04f0w3t91
93,Noterik (Netherlands),00h642n86
94,Portbase,0486mwv16
95,Rood Wit Blauw Water Services (Netherlands),009ephb22
96,ICCO,005w1s219
97,Virology Education,04f10rk67
98,Astellas Pharma (Netherlands),04kyfd050
99,Stichting Kind en Groei,04dzm3847
100,Echo Pharmaceuticals (Netherlands),05mjtfk75
101,Sanofi (Netherlands),00pgqb537
102,Eli Lilly (Netherlands),02ve0bg52
103,European Uro Oncology Group,04k3tc204
104,Dr. Reddy's Laboratories (Netherlands),01dn4wg45
105,Nederlandse Vereniging van Artsen voor Longziekten en Tuberculose,03a3n5193
106,Solenne (Netherlands),031kkyn50
107,BBB Therapeutics (Netherlands),05yjdg022
108,Santeon (Netherlands),02fxnw554
109,Werkgroep Cardiologische centra Nederland,01bb2y691
110,Tolbrug Specialistische Revalidatie,031a73r17
111,Adessium Foundation,011ftwx20
112,Art Innovation (Netherlands),02g21hc40
113,Hewlett-Packard (Netherlands),020fcst87
114,Reckitt Benckiser (Netherlands),00647p549
115,Maag Lever Darm Stichting,05jkpd189
116,Stichting Rotterdams Kinderrevalidatie Fonds Adriaanstichting,03agt1e39
117,VSBfonds,022jr5m13
118,Wetenschappelijk Onderzoek- en Documentatiecentrum,0002exf56
119,Hair Science Institute,040rzp686
120,Institute for Sustainable Process Technology,05nqm0q11
121,Life Science Patents,05qtw9471
122,Pharmerit (Netherlands),00ntr9f13
123,Amsterdam Neuroscience,01x2d9f70
124,Netherlands Heart Institute,01mh6b283
125,Diakonessenhuis hospital,01nrpzj54
126,Amphia Ziekenhuis,01g21pa45
127,Central Military Hospital,01d3gh658
128,De Gezondheidsdienst voor Dieren,02hy2mb20
129,The Health Council of the Netherlands,007xad319
130,Albert Schweitzer Ziekenhuis,00e8ykd54
131,Ikazia Ziekenhuis Rotterdam,01abkkw91
132,Bronovo Hospital,03r781319
133,Medisch Centrum Alkmaar,04vccmr34
134,Medisch Centrum Haaglanden,00v2tx290
135,Rode Kruis Ziekenhuis,00vyr7c31
136,Laurentius Ziekenhuis,053njym08
137,Sint Lucas Andreas Hospital,016jc2h42
138,Netherlands Institute for Health Services Research,015xq7480
139,Slingeland Ziekenhuis,00jw56w10
140,Erasmus MC - Sophia Children’s Hospital,047afsm11
141,Nederlands Oogheelkundig Onderzoek,05yas2736
142,PharmAccess Group,007jy0643
143,Altana (Netherlands),05tgveb11
144,ZBC Multicare (Netherlands),0325z9a60
145,Boehringer Ingelheim (Netherlands),04fh1gw55
146,Foundation for Liver and Gastrointestinal Research,04hzejq44
147,Militaire Geestelijke Gezondheidszorg,00xnymf93
148,Royal Dutch Pharmacists Association,00gdw7f12
149,European Association for Endoscopic Surgery,015wndh26
150,Nederlandse Vereniging voor Tropische Geneeskunde,0123yy056
151,Dianet,01qsyak13
152,Triodos Bank,04tagby45
153,Arbo Unie,05fwtr092
154,GGzE,03mg65n75
155,De Twentse Zorgcentra,01fqyr702
156,The eNose (Netherlands),018wek193
157,Epilepsiefonds,03ed6ba60
158,Stichting Erasmus Trustfonds,033zc3t08
159,Dimence,010jxjq13
160,Dutch Lung Cancer Research Group,03p00z818
161,Dutch Association for Regional Anesthesia,00hbvz117
162,Bartiméus,047b7k736
163,Bauerfeind (Netherlands),0153zg311
164,VeiligheidNL,05qwpv987
165,AngioDynamics (Netherlands),05e2s1y16
166,Dutch Endovascular Alliance,02xztvm24
167,Bayer (Netherlands),01442sk86
168,Evean,00cfpf441
169,Algemene Nederlandse Vereniging ter Voorkoming van Blindheid,0210ag428
170,BioClin (Netherlands),05qce6816
171,GGD West-Brabant,02kj9za59
172,GGz centraal,01m0gv380
173,Amstelring,02xjdnj70
174,Oostvaarderskliniek,01kmd8x15
175,Goodlife (Netherlands),03n3g7r56
176,SBOH,0270bqq96
177,Marti-Keuning Eckhardt Stichting,04g9szr12
178,Hero Benelux (Netherlands),05bmt9g57
179,HilverZorg,03g7v9982
180,Cristal Therapeutics (Netherlands),03s453j88
181,Nestlé (Netherlands),02drjk215
182,European Health Psychology Society,02fd11n27
183,Royal Dutch Organization of Midwives,02162rn53
184,Federatie Medisch Specialisten,056vah748
185,Koning Willem I College,01rps2j56
186,Royal Dutch Society for the Promotion of Dentistry,04y4ec840
187,Dutch Hospital Association,05sj77784
188,Merck (Netherlands),012chae64
189,Pension Fund for Care and Well-Being,05a8epj20
190,Nederlandse Vereniging van Artsen voor Musculoskeletale Geneeskunde,04gv1ap07
191,Ministry of Social Affairs and Employment,05xaz7757
192,"Ministry of Agriculture, Nature and Food Quality",03b1hdw57
193,Podocentrum Alkmaar,03exh6913
194,Leyden Academy on Vitality and Ageing,00txvrc11
195,NutriLeads (Netherlands),05nvt9206
196,Ipse de Bruggen,01crhqr30
197,IQ Medical Ventures (Netherlands),04tg2rn58
198,Save by Seva Foundation,05x6vad86
199,Nederlandse Vereniging voor Plastische Chirurgie,02fxhk514
200,Olympus (Netherlands),009cq8s89
201,Sense Textile (Netherlands),0215ym372
202,Regio Gooi en Vechtstreek,01are8h73
203,Stichting Agis Zorginnovatiefonds,03fd2y933
204,Agora,04t5qmm38
205,Reinier van Arkel,04ggjpc96
206,Stichting Urologisch Wetenschappelijk Onderzoek,00q6rn894
207,Volandis,02qpd5a14
208,Asklepios Foundation,00740sw32
209,Tante Louise,00ccsy875
210,Team Westland,03t8qvt86
211,ROC Leeuwenborgh,052c2ng98
212,Stichting De Weijerhorst,0227c4549
213,STECR,05pabx459
214,RR Mechatronics (Netherlands),04w0g9c06
215,Stichting Hartekind,00s3sar63
216,Thebe,0345gq170
217,Vanboeijen,01nzrnn89
218,Maatschap Friese Longartsen,02z138x11
219,Vereniging Nederlandse Cateringorganisaties,03thqn741
220,Transcare,01fw4cw44
221,Coöperatie VGZ (Netherlands),04983vw43
222,Turing Foundation,02bq4xp81
223,Stichting Nationaal Fonds Het Gehandicapte Kind,04q3h7t52
224,Univé (Netherlands),04yv75396
225,Landsteiner Instituut,01a0jnf88
226,Stichting Rehabilitatie ‘92,0356ywp11
227,Verslavingszorg Noord Nederland,0564c7p76
228,Middelbaar Beroeps Onderwijs,004pfc251
229,Zorggroep Kans,04gpeah71
230,Zorggroep Meander,00vtp3850
231,Zorggroep Sint Maarten,0320z2q35
232,Cardialysis (Netherlands),058wnr349
233,HumanTotalCare (Netherlands),00afzcs08
234,Janusz Korczak Stichting,007rj1t21
235,MicroPort Orthopedics (Netherlands),0007f0665
236,SOMT University of Physiotherapy,04chwzs27
237,Amsterdam Institute for International Development,030f3bz67
238,Eska (Netherlands),02hf3eh91
239,Bioseutica (Netherlands),02e58j402
240,Royal Conservatory of The Hague,01mwwwn80
241,Electric Ant Lab (Netherlands),01xfv7487
242,University Medical Center Groningen,03cv38k47
243,Netherlands Organisation for Applied Scientific Research,01bnjb948
244,Leiden University,027bh9e22
245,Delft University of Technology,02e2c7k09
246,Erasmus MC,018906e22
247,Eindhoven University of Technology,02c2kyt77
248,Royal Netherlands Meteorological Institute,05dfgh554
249,Radboud University Nijmegen Medical Centre,05wg1m734
250,Open University in the Netherlands,018dfmf50
251,Stichting Technasium,03645mz20
252,Ziekenhuis Groep Twente,04grrp271
253,Institute for Atomic and Molecular Physics,038x9td67
254,Royal Netherlands Academy of Arts and Sciences,043c0p156
255,Association of Dutch Burn Centres,02wcc5n95
256,Graduate School Neurosciences Amsterdam Rotterdam,0449h4696
257,Westerdijk Fungal Biodiversity Institute,030a5r161
258,Koninklijke Nederlandse Chemische Vereniging,0287mpm73
259,KWR Water Research Institute,04f1mvy95
260,Roessingh Research and Development,01dmjt679
261,Dutch Research Council,04jsz6e67
262,AkzoNobel (Netherlands),017ctmv39
263,Ecorys (Netherlands),05kjm8921
264,Humanetics Innovative Solutions (Netherlands),050teng13
265,European Space Research and Technology Centre,03h3jqn23
266,Thales (Netherlands),032tp7158
267,Veiligheids- en Gezondheidsregio Gelderland-Midden,02mm95a26
268,Gemeente Amsterdam,003h0ev22
269,Port of Rotterdam Authority,05rzqb565
270,IPCOS (Netherlands),010fbtk71
271,M&I/Partners,02kc0ck80
272,Pepscan (Netherlands),03veq6934
273,Process Design Center (Netherlands),05sgqz436
274,Promolding (Netherlands),057bd0236
275,Netherlands Standardization Institute,03x84qk23
276,Ministry of Education Culture and Science,02x3w5g21
277,Noldus Information Technology,00tzgse53
278,Smart Homes,00zecds36
279,Stork (Netherlands),03b7cbd70
280,Altium's (Netherlands),01sa7d916
281,Triqua (Netherlands),02w2r5196
282,TE Connectivity (Netherlands),05f08j617
283,Amsterdam Economic Board,04mjy3g97
284,Verwey Jonker Institute,017hmby02
285,Museon,03scjwb12
286,Oncode Institute,01n92vv28
287,Stichting HIV Monitoring,02w6k4f12
288,International New Town Institute,027zjnr49
289,Observatories and Research Facilities for European Seismology,01v801w64
290,Tromp Medical (Netherlands),0342vn940
291,Understanding Childhood Arthritis Network,057tkar12
292,QuSoft,00zq3ce72
293,InterPore,05s4v9y95
294,CNH Industrial (Netherlands),017rhna63
295,World Marrow Donor Association,02zcn6j48
296,Beatrix Kinderziekenhuis,02zyr1680
297,De Kinderkliniek,03j5g5d55
298,euroCRIS,04340dw19
299,Erasmus MC Cancer Institute,03r4m3349
300,Centrient Pharmaceuticals (Netherlands),03zf99n20
301,Asser Institute,04tdptw32
302,Human Vaccines Project Europe,018ypnc38
303,Merus (Netherlands),03kczcb35
304,Institute of Network Cultures,01pj4qf10
305,Natural History Museum Rotterdam,01s8f2180
306,Amsterdam Institute for Advanced Metropolitan Solutions,01g0n8690
307,PamGene (Netherlands),03c9hf945
308,GGD Hart voor Brabant,05dzd9d14
309,ENPICOM (Netherlands),00cv8gc24
310,GGD Brabant-Zuidoost,00cjb8p81
311,PAMM,05mggs005
312,Lava Therapeutics (Netherlands),051k25d02
313,Givaudan (Netherlands),012yyz739
314,Royal GD (Netherlands),02j5ney70
315,Vrije Universiteit Amsterdam,008xxew50
316,Netherlands Cancer Institute-Antoni van Leeuwenhoek Hospital,03xqtf034
317,Netherlands Haemophilia Society,00wk22n41
318,EMGO Institute for Health and Care Research,0258apj61
319,Hague Academy of International Law,03skjap48
320,Vereniging Achmea,01vctnd13
321,Nutricia Research (Netherlands),04yx5fa32
322,"Network for Studies on Pensions, Aging and Retirement",05tw3m124
323,Maatschappij tot Redding van Drenkelingen,02wqfz680
324,ATG Europe (Netherlands),03p1xd909
325,Percuros (Netherlands),01cxpkg92
326,SolMateS (Netherlands),03mvhz334
327,Netherlands Maritime Technology,01qqwja70
328,Association of universities in the Netherlands,05wvdt748
329,Saudi Arabia Basic Industries (Netherlands),04ra3cs69
330,STMicroelectronics (Netherlands),00ba1ja72
331,Netherlands Defence Academy,02dnvjf04
332,Reden (Netherlands),00ssh1q19
333,ZF Screens (Netherlands),05qpyc807
334,Access to Seeds Index,02zpzpz12
335,International Federation of Library Associations and Institutions,026gatw61
336,Global Network of People Living with HIV/AIDS,035w8ak98
337,Novartis (Netherlands),01a80cj23
338,Sint Franciscus Gasthuis,007xmz366
339,RELX Group (Netherlands),02scfj030
340,Holland Chemistry,007bss615
341,Design Academy Eindhoven,039vq9023
342,NHL University of Applied Sciences,05m4jv490
343,Theological University of Apeldoorn,03s2fjy85
344,Actelion (Netherlands),053xq8k96
345,Borstkanker Onderzoek Groep,04cr37s66
346,Diagram (Netherlands),03rhyyh86
347,Pancreatitis Werkgroep Nederland,007r3zy44
348,GGZ Oost Brabant,05p2mb588
349,Emotional Brain (Netherlands),03vy5fy74
350,Streeklab Haarlem,02fyrxr51
351,Alrijne Ziekenhuis,017rd0q69
352,Dr Kolbach Kliniek,01ypfvm35
353,Ziekenhuis Nij Smellinghe,030gj2p37
354,Radiotherapeutisch Instituut Friesland,05f7htr55
355,St.Jans Gasthuis Weert,01a91k946
356,Sluyterman van Loo Foundation,0393e5v03
357,Freek en Hella de Jonge Stichting,03t5h1366
358,International Association for the Evaluation of Educational Achievement,00n789a42
359,Dolby (Netherlands),02kb3q578
360,Hunter Douglas (Netherlands),033z8qs97
361,Lely (Netherlands),03yg75p21
362,Jacobs Douwe Egberts (Netherlands),03n2fp057
363,Koninklijk Nederlands Genootschap voor Fysiotherapie,04946nn35
364,Nederlandse Vereniging voor Trombose en Hemostase,01fesvd20
365,Adidas (Netherlands),011b3r412
366,Honeywell (Netherlands),01yxf2e18
367,Synthon (Netherlands),01gswc231
368,Whirlpool (Netherlands),023bna168
369,ELEQ (Netherlands),0422kq922
370,Basko Healthcare,032dyj305
371,AOMB Intellectual Property (Netherlands),02j5xfp60
372,Medical Dispensing Systems (Netherlands),033nhhq39
373,VAF Instruments (Netherlands),04gnv7g45
374,Texas Instruments (Netherlands),046vvrs54
375,Dräger (Netherlands),003kp3v47
376,Hendrix Genetics (Netherlands),01f67ew21
377,Barco (Netherlands),017vj1d34
378,Health Foundation Limburg,008vm1c77
379,Revalidatiefonds,02vmzh064
380,Inholland University of Applied Sciences,03cfsyg37
381,Wittenborg University,020z55s31
382,Windesheim University of Applied Sciences,04zmc0e16
383,"NIOD Institute for War, Holocaust and Genocide Studies",05he87q93
384,CINOP,035jt5x02
385,Dutch postgraduate School for Art History,0265xav62
386,Van Hall Larenstein University of Applied Sciences,02mdbnd10
387,Huygens Institute for the History of the Netherlands,04x6kq749
388,International Institute for Asian Studies,04tz9fd40
389,BC Broekhin Roermond,05rxmpb48
390,Nederlands Instituut voor Wetenschappelijke Informatiediensten,020hsr785
391,Royal Academy of Visual Arts,01ygzxb58
392,C.T. de Wit Graduate School for Production Ecology and Resource Conservation,020dp5a36
393,Vestigia,050vtbc65
394,C. van 't Riet Dairy Technology (Netherlands),00wcmt229
395,Staal Technisch Centrum (Netherlands),01kkxsr20
396,Netherlands Institute for Space Research,02wc0kq10
397,SemLab (Netherlands),021yrfz74
398,QPS (Netherlands),02asacd21
399,Netherlands Consortium for Healthy Ageing,03wnqyy64
400,Isala,046a2wj10
401,Dutch Centre for Field Ornithology,026x8jh45
402,Médecins Sans Frontières,04237en35
403,Dutch Cancer Society,0368jnd28
404,Nierstichting,020k6v967
405,Nutricia Research Foundation,00vt3ry76
406,Canon Foundation in Europe,03sjs8573
407,Fonds Psychische Gezondheid,048e31249
408,Mama Cash,00k289v48
409,Amsterdam University of Applied Sciences,00y2z2s03
410,Avantes (Netherlands),01zqwky61
411,Ambient Systems (Netherlands),01m12v471
412,CEA Systems (Netherlands),012xvbn21
413,Culgi (Netherlands),05p90pk86
414,DTV Consultants (Netherlands),02tga4733
415,Gemeente Helmond,028a1kb39
416,Imtech Marine (Netherlands),045zhyc13
417,Holland Renewable Energy Technologies (Netherlands),04g6csw95
418,ING Bank,059et9981
419,HydroLogic (Netherlands),03t2wy197
420,International Soil Reference and Information Centre,01z8yfp14
421,Equens (Netherlands),002wz1627
422,Institute for Applied Environmental Economics,02yzsw326
423,Lenntech (Netherlands),02rp48z36
424,LifeTec Group (Netherlands),03t15zy94
425,Instituut Fysieke Veiligheid,05fe6qm90
426,Personal Space Technologies (Netherlands),03mmsj102
427,Rodenburg Biopolymers (Netherlands),0570cz029
428,Remmers Bouwchemie (Netherlands),0174fh497
429,R&R Systems (Netherlands),03pmd4r81
430,Kiwa,05586rd65
431,Jeroen Bosch Ziekenhuis,04rr42t68
432,Elkerliek Ziekenhuis,01q750e89
433,Emma Kinderziekenhuis,00bmv4102
434,Meander Medisch Centrum,04n1xa154
435,Medisch Spectrum Twente,033xvax87
436,Geneeskundige en Gezondheidsdienst,006xsx833
437,DDL Diagnostic Laboratory,04xdr5k48
438,Pfizer (Netherlands),02bzf1224
439,Omring,0180s3q15
440,Nederlands Paramedisch Instituut,02g08q683
441,Benelux Society of Phlebology,03vf2kf90
442,Nederlandse Vereniging voor Obstetrie en Gynaecologie,05qaf7a32
443,Clinical Trial Center Maastricht,03gsbap19
444,Jon J van Rood Centre for Clinical Transfusion Research,04cm10r73
445,Neys-van Hoogstraten Foundation,05cfhyk75
446,Expertise Center Vocational Education,05jrbdv26
447,Capri Hartrevalidatie,052bwcm79
448,De Bascule,03bpayg50
449,Arq Psychotrauma Expert Group,0081aw162
450,Carbohydrate Competence Center,05d63m431
451,De Forensische Zorgspecialisten,03tx1jp34
452,C Care Orthopedics,05vgtss27
453,Depressie Vereniging,02rycyg15
454,Entrea,04md5tc32
455,Certe,04m8g8w48
456,DOH Zorggroep,0392bhy50
457,AmbulanceZorg Rotterdam-Rijnmond,04c4nbz33
458,Dienst Uitvoering Onderwijs,0234pcb82
459,Innovatiefonds Zorgverzekeraars,018kpa439
460,Netherlands Nutrition Centre,04zmc7w78
461,Nederlandse Vereniging voor Hepatologie,0598b8w92
462,AQLANE Medical (Netherlands),04ja13179
463,Nederlandse Vereniging voor Gastroenterologie,0203tey58
464,Antes,04318hx17
465,Focal Meditech (Netherlands),05grjt380
466,GD Medical Pharma (Netherlands),01mm9kz68
467,GGD Rotterdam-Rijnmond,00dkp4z50
468,Dienst Gezondheid & Jeugd,04ms2sw50
469,Stichting Zonnige Jeugd,00zdfr649
470,Zeeuws Hand & Pols Centrum,01j0j2s89
471,Health & Motion,02hp0cc95
472,Commit,031m0hs53
473,Cordaid,046dq9976
474,Medisch Coördinerend Centrum Omnes,030kv0w79
475,HSK Groep,02hcvyf40
476,Huisartsen Oostelijk Zuid Limburg,0357qk965
477,Orthica (Netherlands),01y36r136
478,MediRisk (Netherlands),018q2vm69
479,Eurocept Group (Netherlands),043dpra13
480,Nederlandse Vereniging van Orthodontisten,006gr2m12
481,Parkinson Vereniging,05k65ce46
482,Lamepro Benelux (Netherlands),047b6h508
483,Academie Verloskunde Amsterdam Groningen,02nt7ap43
484,Laurens,01d2t6428
485,Movisie,00vkpdt16
486,Nederlands Olympisch Comité Nederlandse Sport Federatie,017f19q81
487,Pro Persona,04jy41s17
488,MDxHealth (Netherlands),01an3vn51
489,Praktijkondersteuning Zuidoost-Brabant,057r0z941
490,Praktikon,04sce8194
491,PsyQ,02axh0j46
492,GGD Zuid Limburg,04af0r679
493,Instituut voor Verantwoord Medicijngebruik,012m0jg51
494,OIM Orthopedie (Netherlands),0516ccm91
495,Stichting Adriaan Metius,048a4sn26
496,Stichting Semmy,00m3p9e86
497,Sporten voor Sophia,05s5ffk95
498,ResMed (Netherlands),001hc9y40
499,De Hoogstraat Revalidatie,04d59va55
500,Sophia Revalidatie,03m7jfm83
501,Synapse (Netherlands),03g8dtk63
502,Centrum Oosterwal,058x0nn53
503,Stichting de Verre Bergen,02a0z8v73
504,Stichting Roomsch Catholyk Oude Armen kantoor,05xzd4n85
505,Stichting Gereformeerd of Burgerweeshuis te Haarlem,03czygt47
506,Vrienden van het Sophia,03tdgzq48
507,Stichting Warande,01braxd57
508,Stichting Handbike Events,01e2kx306
509,Stichting Hartcentrum Twente,03bzzj274
510,Stichting Hofje Codde en Van Beresteyn,003dey933
511,Procter & Gamble (Netherlands),01sf6dn24
512,Stichting Mitialto,00srb9238
513,Jellinek,02vsng207
514,Vitalis WoonZorg Group,04t2ed417
515,Xendo (Netherlands),05dw0jd27
516,Yakult (Netherlands),056jbdt18
517,Stichting RevaZorg,00feb6h18
518,Espérance,05ns7k858
519,Disphar International (Netherlands),02ts4qr04
520,Stichting Toegepast Wetenschappelijk Instituut voor Neuromodulatie,05my1gr06
521,Het Nieuwe Instituut,001g4fr45
522,Huygen Installatie Adviseurs,00dav3y17
523,Schothorst Feed Research,024h8zy86
524,European Union Agency for Law Enforcement Cooperation,05sj3q575
525,Ecofys (Netherlands),01ypwfg63
526,Radboud University Nijmegen,016xsfp80
527,Centrum Wiskunde & Informatica,00x7ekv49
528,Energy Research Centre of the Netherlands,04xa4c474
529,DSM (Netherlands),00k01kt20
530,National Institute for Public Health and the Environment,01cesdt21
531,Ministry of Economic Affairs and Climate Policy,00bc6bw85
532,Dutch CAA Foundation,0252btq49
533,Groninger Museum,03zvet229
534,Holst Centre (Netherlands),04abpa862
